party_id,election_date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,manifesto_id,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,key
51903,201505,english,MARPOR,False,True,False,51903_201505,0da52feba9d3fc007bfa1d8f0733102c,/down/originals/2016-1/51903_2015.pdf,ec07836e10ec2c52d71317e6628b9d11,True,4,,The Northern Ireland Plan,51903_201505
51951,201505,english,MARPOR,False,True,False,51951_201505,0a2100f5929f1ea7dbc39a7c75f98879,/down/originals/2016-1/51951_2015.pdf,1ca6281d6ecc1c46d903fe9c4db9d10b,True,4,,Believe in Britain. UKIP Manifesto 2015,51951_201505
51110,201706,english,MARPOR,False,True,False,51110_201706,5f629ffbde9d9363760623bbe2fb5c6d,/down/originals/2018-2/51110_2017.pdf,f07bd4ef0a3d822107305c869cb5059f,True,5,,The Green Party for a confident and caring Britain,51110_201706
51210,201706,english,MARPOR,False,True,False,51210_201706,cc0227d8491ce262ebd308fb2ea81fa7,/down/originals/2018-2/51210_2017.pdf,a39d4292b275c01a364ece25eb2224aa,True,5,,Sinn Féin. Westminster election manifesto 2017. No Brexit. No border. No Tory cuts,51210_201706
51320,201706,english,MARPOR,False,True,False,51320_201706,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,True,5,,For the many not the few. The Labour Party manifesto 2017,51320_201706
51421,201706,english,MARPOR,False,True,False,51421_201706,7e0fa07c4380e4f616ae65fceaae5460,/down/originals/2018-2/51421_2017.pdf,9eddba3e7bb1b24dce8eeb7d5c3dbfae,True,5,,Change Britain´s future. Liberal Democrat manifesto 2017,51421_201706
51620,201706,english,MARPOR,False,True,False,51620_201706,71d145f70a536731a28d36fbea710d6c,/down/originals/2018-2/51620_2017.pdf,0fa5cfdaabf95fa2e304a3ded4442710,True,5,,"Forward, together. Our plan for a stronger Britain and a prosperous future. The Conservative and Unionist Party manifesto 2017",51620_201706
51901,201706,english,MARPOR,False,True,False,51901_201706,b43ffb34689406bb9067a52db075a2d5,/down/originals/2018-2/51901_2017.pdf,99b66066a6f3203d40323ad0a90731b3,True,5,,Tarian Cymru. Plaid Cumru. Defending Wales. Action Plan 2017,51901_201706
51902,201706,english,MARPOR,False,True,False,51902_201706,1c51fa8f97f0de1fe72685ddff55b899,/down/originals/2018-2/51902_2017.pdf,5681ab0ca2e98ff80555a0372147cd09,True,5,,Stronger for Scotland. Manifesto 2017,51902_201706
51903,201706,english,MARPOR,False,True,False,51903_201706,9ba0ca771e34c22ffe9485f216be3e47,/down/originals/2018-2/51903_2017.pdf,3c397a2bc7b46762d2d7fa093a1f30d1,True,5,,Standing strong for Northern Ireland. The DUP manifesto for the 2017 Westminster election,51903_201706
51951,201706,english,MARPOR,False,True,False,51951_201706,f6a5467ac5e4fd127661551f88f3acfa,/down/originals/2018-2/51951_2017.pdf,21c595165e06d9ad430f003ad0ddd925,True,5,,Britain Together. UKIP 2017 manifesto,51951_201706
51110,201912,english,MARPOR,False,True,False,51110_201912,f6f73046cff77f94f62256597bac3012,/down/originals/2020-1/51110_2019.pdf,db0d3e814bdbeed362ea81e53066dc37,True,5,,"If not now, when?",51110_201912
51210,201912,english,MARPOR,False,True,False,51210_201912,c8c32510e9df570a556c59822bc7422c,/down/originals/2020-1/51210_2019.pdf,1201b63b1ef643cc8e178b72e629a10a,True,5,,Time for unity,51210_201912
51320,201912,english,MARPOR,False,True,False,51320_201912,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,True,5,,It's time for real change ,51320_201912
51340,201912,english,MARPOR,False,True,False,51340_201912,1eaab709947b042b7ed1000bbbcfe09d,/down/originals/2020-1/51340_2019.pdf,99d6e035cf66103f57075215f8233a06,True,5,,"Stop Boris, stop Brexit",51340_201912
51421,201912,english,MARPOR,False,True,False,51421_201912,f5f4b9714ea47a619a51806e340c9a48,/down/originals/2020-1/51421_2019.pdf,de1d8528b492ef56f25920534310e4d5,True,5,,Stop Brexit build a brighter future,51421_201912
51430,201912,english,MARPOR,False,True,False,51430_201912,a32d6fbabf19bf6044552da86c8c1e22,/down/originals/2020-1/51430_2019.pdf,a252c96c570d84baf57f0102ff83ac81,True,5,,Demand better.,51430_201912
51620,201912,english,MARPOR,False,True,False,51620_201912,5d5fcd08e00b51c3ffdc3e908bd00736,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,True,5,,Get Brexit done. Unleash Britain's potential,51620_201912
51901,201912,english,MARPOR,False,True,False,51901_201912,655dca73cf3d0ba2051d3deca95e980a,/down/originals/2020-1/51901_2019.pdf,564e30d8ead9e227517ba2db891a30f4,True,5,,"Wales, it's us",51901_201912
51902,201912,english,MARPOR,False,True,False,51902_201912,48a507208b9c8ec6e4a62c4ba47ca6e0,/down/originals/2020-1/51902_2019.pdf,73d69e5213f8597ce82c6ea96f7c7bbf,True,5,,Strong for Scotland,51902_201912
51903,201912,english,MARPOR,False,True,False,51903_201912,1f9a5da7819b7cf6d82d508bc38a1c6e,/down/originals/2020-1/51903_2019.pdf,fb614ba141487c61e192a91e5c23641f,True,5,,Let's get the UK moving again,51903_201912
61320,192011,,,,,,,,/down/originals/2015-1/61320_1920.pdf,6ca3564157d2420e46a7c380db13fe92,,,,Democratic Platform of 1920,61320_192011
61620,192011,,,,,,,,/down/originals/2015-1/61620_1920.pdf,1be10fd0a030726c160c34df78d6f408,,,,Republican Platform of 1920,61620_192011
61320,192411,,,,,,,,/down/originals/2015-1/61320_1924.pdf,3dadf07c38b4b2d781f6f9a6cf09ce2b,,,,Democratic Platform of 1924,61320_192411
61620,192411,,,,,,,,/down/originals/2015-1/61620_1924.pdf,ace8829d7fc9c8c6ddff181f4ca6751d,,,,Republican Platform of 1924,61620_192411
61621,192411,,,,,,,,/down/originals/2015-1/61621_1924.pdf,6dc955ec3656cbcdfcef93fcc9b1ee92,,,,La Follette's Platform of 1924,61621_192411
61320,192811,,,,,,,,/down/originals/2015-1/61320_1928.pdf,ec9ef2b44b52b05bde5be3acf1656428,,,,Democratic Platform for 1928,61320_192811
61620,192811,,,,,,,,/down/originals/2015-1/61620_1928.pdf,75f92f357e79024d5e588620a3662982,,,,Republican Platform of 1928,61620_192811
61320,193211,,,,,,,,/down/originals/2015-1/61320_1932.pdf,26968a3f831f8f08bcd13d45a88469e2,,,,Democratic Platform for 1932,61320_193211
61620,193211,,,,,,,,/down/originals/2015-1/61620_1932.pdf,835a03cb01abd155a83f2ba959acfc97,,,,Republican Platform of 1932,61620_193211
61320,193611,,,,,,,,/down/originals/2015-1/61320_1936.pdf,0480c3f2b13169a66863234ce4fd5f88,,,,Democratic Platform of 1936,61320_193611
61620,193611,,,,,,,,/down/originals/2015-1/61620_1936.pdf,768b0b8f4c622ec22d9a4b32012d05c2,,,,Republican Platform for 1936,61620_193611
61320,194011,,,,,,,,/down/originals/2015-1/61320_1940.pdf,7f269313b8aa57c3c1ff4c8058894000,,,,Democratic Platform of 1940,61320_194011
61620,194011,,,,,,,,/down/originals/2015-1/61620_1940.pdf,ba92c0d54680c51957fec776d66f1f15,,,,Republican Platform for 1940,61620_194011
61320,194411,,,,,,,,/down/originals/2015-1/61320_1944.pdf,7c2446d03761e80bdfbc3fcf8cdab356,,,,Democratic Platform of 1944,61320_194411
61620,194411,,,,,,,,/down/originals/2015-1/61620_1944.pdf,c97f8e51927c1c75f0518d9d6356a9e1,,,,Republican Platform for 1944,61620_194411
61320,194811,,,,,,,,/down/originals/61320_1948.pdf,bcfd9f219c3ecfedf7e9e6ae00a52b6f,,,,Democratic Party Platform 1948,61320_194811
61620,194811,,,,,,,,/down/originals/61620_1948.pdf,cab86868330333625630b6458beb6a32,,,,Republican Party Platform of 1948,61620_194811
61622,194811,,,,,,,,/down/originals/61622_1948.pdf,06683ba70364345e9ff1b68c2554bf5b,,,,"Progressive Party Platform, 1948",61622_194811
61911,194811,,,,,,,,,,,,,States' Rights Platform of 1948,61911_194811
61320,195211,,,,,,,,/down/originals/61320_1952.pdf,8880d2ae33c0dabdd078909b9f036796,,,,Democratic Party Platform of 1952,61320_195211
61620,195211,,,,,,,,/down/originals/61620_1952.pdf,31cb6d3493b9c41bb6196d300edd8a0f,,,,1952 Republican Platform,61620_195211
61320,195611,,,,,,,,/down/originals/61320_1956.pdf,a96a3c3fc0d77901111757e3f56a0601,,,,Democratic Platform 1956,61320_195611
61620,195611,,,,,,,,/down/originals/61620_1956.pdf,dfa5c23e4d17648d614b40f3f2869d99,,,,Republican Platform 1956,61620_195611
61320,196011,english,CEMP,False,True,False,61320_196011,02b852eaf10861fb50a83c68f47ae9c5,,,False,,,Democratic Party Platform 1960,61320_196011
