country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm,key
51,United Kingdom,0,0,26/05/1955,195505,51420,Liberal Party,,40,102,1,1982,.961,,2.7,0,,6,630,1,10,,197,6.100000000000001,3.6,0,6.600000000000001,1.5,4.1,4.1,4.1,7.600000000000001,0,0,7.100000000000001,1,0,0,3.6,0,2.5,0,3.1,0,0,0,0,0,0,10.1,4.600000000000001,5.100000000000001,7.100000000000001,0,0,0,0,0,0,0,0,1.5,1,0,0,0,4.600000000000001,0,0,0,0,2.5,0,0,0,4.1,3.1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,2.5,8.199999999999999,2020b,ZQU4HS,51420_195505
51,United Kingdom,0,0,26/05/1955,195505,51620,Conservative Party,Conservatives,60,102,1,1982,.961,,49.742,0,,345,630,1,10,,789,11,1,0,1.1,2.3,0,3.7,14.6,1.5,1.8,.8,3.3,.8,.5,.5,4.2,0,2,0,.5,1,2.5,.6,7.7,0,.8,.6,1.5,.1,1.1,2,.5,1.5,.5,0,0,1.3,.5,.9,7.9,.5,7.4,0,2.3,.3,.3,.5,.5,1.3,0,0,.1,.4,4.7,.9,.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.6,8.800000000000001,1.5,8.800000000000001,3.7,2020b,MCOAW7,51620_195505
51,United Kingdom,0,0,08/10/1959,195910,51320,Labour Party,Labour,30,102,1,1982,.961,,43.844,0,,258,630,1,10,,275,25.5,1.1,.4,1.5,.7000000000000001,.4,5.8,5.4,0,0,0,2.2,1.1,0,0,.4,0,0,0,0,0,4,.7000000000000001,0,0,.4,0,0,3.6,3.3,1.1,1.8,6.600000000000001,.7000000000000001,0,0,0,5.8,2.9,5.100000000000001,0,4.7,0,0,0,0,0,0,1.1,0,0,1.8,0,1.5,2.2,5.8,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.6,2.5,.7000000000000001,8,6.600000000000001,2020b,XC8V5S,51320_195910
51,United Kingdom,0,0,08/10/1959,195910,51420,Liberal Party,,40,102,1,1982,.961,,5.889,0,,6,630,1,10,,155,19.4,2.6,0,0,2.6,.6,1.3,7.100000000000001,0,0,0,0,3.2,3.2,0,4.5,0,3.2,1.3,0,2.6,1.3,1.3,.6,0,0,0,9,0,1.3,0,.6,.6,1.9,0,0,3.2,0,1.3,4.5,0,3.2,0,1.3,0,0,0,.6,1.9,0,0,3.2,1.3,1.3,0,1.3,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8,2.5,4.5,5.8,1.9,2020b,UO692Y,51420_195910
51,United Kingdom,0,0,08/10/1959,195910,51620,Conservative Party,Conservatives,60,102,1,1982,.961,,49.352,0,,365,630,1,10,,333,22.8,1.8,.3,.9,.9,0,9.700000000000001,4.1,.3,0,0,2.1,.6,0,0,.9,0,.6,0,.3,0,.6,5.3,0,0,.3,.3,7.100000000000001,2.1,2.7,6.2,0,.6,3.2,0,0,1.5,3.2,0,8.300000000000001,0,5.600000000000001,0,.3,0,.3,0,1.8,2.9,0,0,.6,0,0,1.5,0,.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.3,5.3,3.2,8.300000000000001,10,2020b,D2PA7E,51620_195910
51,United Kingdom,10,0,15/10/1964,196410,51320,Labour Party,Labour,30,102,1,1982,.961,,44.133,0,,317,630,1,10,,561,43.1,0,0,0,.9,0,3.6,3.9,.2,1.4,0,2.3,.9,.2,0,2.5,0,.9,.2,.9,.2,1.1,0,1.3,0,0,0,2.8,0,.5,5,2.3,1.4,0,0,0,1.1,1.8,2.3,12.8,0,3.7,0,0,0,0,0,0,.9,0,0,.4,0,.9,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.8,3.6,.2,15.1,3.6,2020b,C1KPHO,51320_196410
51,United Kingdom,10,0,15/10/1964,196410,51420,Liberal Party,,40,102,1,1982,.961,,11.206,0,,9,630,1,10,,233,8.5,1.7,.9,0,.4,.9,3,10.3,3.4,0,0,.9,5.600000000000001,0,0,8.1,1.3,2.2,0,0,0,2.6,3,2.2,0,0,1.7,0,0,5.100000000000001,5.100000000000001,0,0,0,0,0,0,0,5.600000000000001,13.7,0,4.7,0,0,0,0,0,1.7,2.2,0,0,1.7,0,2.2,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.6,5.2,0,19.3,4.8,2020b,9F8ILL,51420_196410
51,United Kingdom,10,0,15/10/1964,196410,51620,Conservative Party,Conservatives,60,102,1,1982,.961,,43.398,0,,304,630,1,10,,460,18.9,2.2,.2,1.1,3.3,0,2.8,5.600000000000001,.9,0,0,0,0,.6,0,2.8,0,2.4,0,.9,2.2,1.7,.4,.9,0,.4,0,6.7,.2,2.4,3.5,.6,0,3.9,0,0,4.8,2.8,.9,10.6,0,2.6,0,2,0,0,0,2.6,0,0,0,0,.6,3.7,.2,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.8,1.9,6.100000000000001,11.5,3,2020b,KG47ZS,51620_196410
51,United Kingdom,10,0,31/03/1966,196603,51320,Labour Party,Labour,30,102,1,1982,.961,,48.035,0,,364,630,1,10,,488,17.2,2.7,1.2,0,1.6,1.6,.6,5.100000000000001,1.6,.6,.4,.2,1.6,1.4,.6,.6,.4,2.7,.4,2.7,1.2,.6,1.8,2.1,0,1,.2,2.1,.4,1.8,1.2,.4,2.1,.6,0,0,1.6,2.3,6.8,4.5,1,5.3,1,2.9,.8,.8,0,1.8,.6,0,0,4.3,.6,1.2,2.5,1.8,.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.8,4.3,1.8,11.3,3.4,2020b,JUXXL2,51320_196603
51,United Kingdom,10,0,31/03/1966,196603,51420,Liberal Party,,40,102,1,1982,.961,,8.537000000000001,0,,12,630,1,10,,252,29.4,1.2,0,0,0,6.4,1.2,3.2,2.4,.8,0,.4,3.2,0,0,5.2,0,5.2,0,0,.4,2.8,2.4,2,0,0,0,6.8,0,2.4,1.2,.8,0,1.2,0,0,0,0,2,2.8,.8,2.4,0,0,0,0,0,0,5.9,0,0,.8,1.2,3.2,0,.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.7,5.2,1.6,4.8,7.600000000000001,2020b,XQ8W5A,51420_196603
